,year,make,model,trim,vin,odometer,grade,price,province,claim,estimate,history_report,glass_record,repair,previous_repair,accident_repair,additional_repair,rebuild,total_disclosure_amount
113,2020,ford,explorer,xlt,1FMSK8DHXLGC68840,"130,727",2.7,"$21,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2016,bmw,4,other,WBA3R5C59GK373072,"182,378",2.4,"$11,500",kitchner,0.0,0.0,0.0,1859.0,0.0,0.0,0.0,0.0,0.0,1859.0
115,2017,tesla,model,other,5YJSA1E29HF200720,"494,841",3.8,"$6,500",kitchner,0.0,0.0,0.0,1631.0,0.0,0.0,0.0,0.0,0.0,1631.0
116,2019,ford,transit,other,1FTYR2CMXKKA64640,"94,684",1.9,"$21,800",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2016,bmw,3,other,WBA8A3C59GK688505,"173,270",2.9,"$2,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2025,toyota,bz4x,other,JTMABACA7SA100103,"10,446",2.9,"$30,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2022,ford,edge,titanium,2FMPK4K98NBA50366,"177,811",2.9,"$10,200",kitchner,0.0,0.0,0.0,1628.0,0.0,0.0,0.0,0.0,0.0,1628.0
120,2021,hyundai,kona,preferred,KM8K22AAXMU619589,"119,000",2.9,"$13,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2021,ford,f 150,other,1FTFW1E55MFD06357,"72,303",2.9,"$33,750",kitchner,5066.0,0.0,5066.0,0.0,0.0,0.0,0.0,0.0,0.0,5066.0
122,2021,ford,f 150,other,1FTFW1E81MKE26786,"97,455",2.9,"$33,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2020,jeep,grand,other,1C4RJFBG4LC193323,"94,272",2.9,"$26,000",kitchner,0.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0,0.0,741.0
124,2020,ram,1500,big horn,1C6SRFBT1LN158564,"100,690",2.9,"$30,800",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2020,lincoln,nautilus,reserve,2LMPJ8K96LBL00103,"119,309",2.9,"$19,900",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2017,ford,escape,se,1FMCU0GDXHUA97685,"179,038",2.9,"$4,800",kitchner,3810.0,0.0,3810.0,0.0,0.0,0.0,0.0,0.0,0.0,3810.0
127,2013,ford,f 150,other,1FTFW1EF7DKD01046,"253,391",2.9,"$4,500",kitchner,4809.0,0.0,4809.0,0.0,850.0,0.0,0.0,0.0,0.0,5659.0
128,2019,jeep,grand,other,1C4RJFAG4KC648333,"157,099",2.9,"$16,000",kitchner,18579.0,0.0,18579.0,0.0,0.0,0.0,0.0,0.0,0.0,18579.0
129,2021,nissan,rogue,sv,5N1AT3BB5MC746438,"285,164",2.9,"$9,000",kitchner,0.0,0.0,0.0,1506.0,0.0,0.0,0.0,0.0,0.0,1506.0
130,2015,chevrolet,cruze,lt,1G1PC5SB0F7180560,"132,384",2.9,"$3,700",kitchner,10916.0,0.0,10916.0,0.0,0.0,0.0,0.0,0.0,0.0,10916.0
131,2011,ford,super,other,1FDRF3E69BEB83985,"107,642",3.1,"$7,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2021,ford,edge,titanium,2FMPK4K9XMBA41490,"175,450",2.9,"$9,700",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2019,audi,q8,progressiv,WA1DVAF14KD015129,"96,737",2.9,"$30,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2019,mercedes benz,c class,other,55SWF8EB6KU293391,"115,528",2.9,"$20,300",kitchner,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,137.0
135,2023,ram,1500,slt,3C6RR7LT1PG663747,"33,583",2.9,"$30,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2024,dutchman,aspen,other,4YDTATR20R8922814,1,2.9,"$35,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
